ID,is_speedup_func,Symbol,FunctionPC,Function Definition Length,CPU0.call_count,CPU0.self_exec_inst_count
1,0,"stbi__get16be",0x13c80",0x150",0,0
2,0,"stbi__gif_load.constprop.0",0x1f298",0x168",0,0
3,0,"stbi__gif_header",0x1e3cc",0x2bc",0,0
4,0,"stbi__getn",0x1109c",0xe8",0,0
5,0,"stbi__get_marker",0x16c2c",0x1b0",0,0
6,0,"stbi__get8",0x13a6c",0xcc",0,0
7,0,"stbi__get32le",0x13f20",0x25c",0,0
8,0,"stbi__get32be",0x18878",0x294",0,0
9,0,"stbi__get16le",0x13dd0",0x150",0,0
10,0,"stbi__gif_load_next.constprop.0",0x1e688",0xc10",0,0
11,0,"stbi__free_jpeg_components.constprop.0",0x11afc",0x94",0,0
12,0,"stbi__decode_jpeg_image",0x1c868",0x1b64",0,0
13,0,"stbi__decode_jpeg_header",0x1bec8",0x9a0",0,0
14,0,"stbi__create_png_image_raw",0x12d88",0xb1c",0,0
15,0,"stbi__create_png_alpha_expand8",0x114e8",0x8c",0,0
16,0,"stbi__convert_format.part.0",0x1266c",0x5a0",0,0
17,0,"stbi__convert_format16.part.0",0x11574",0x588",0,0
18,0,"stbi__compute_huffman_codes",0x14448",0xf3c",0,0
19,0,"stbi__gif_parse_colortable",0x12434",0x238",0,0
20,0,"stbi__grow_buffer_unsafe",0x16ddc",0x280",0,0
21,0,"stbi__hdr_convert",0x11284",0x148",0,0
22,0,"stbi__hdr_gettoken",0x1417c",0x2cc",0,0
23,0,"stbi__hdr_load.constprop.0",0x18de4",0x6f0",0,0
24,0,"stbi__hdr_test",0x138a4",0x1c8",0,0
25,0,"stbi__high_bit",0x10c80",0x70",0,0
26,0,"stbi__idct_block",0x103d0",0x4b4",0,0
27,0,"stbi_image_free",0x23194",0x4",0,0
28,0,"stbi__jpeg_decode_block",0x17464",0x68c",0,0
29,0,"stbi__jpeg_decode_block_prog_dc",0x1705c",0x408",0,0
30,0,"stbi_load",0x23198",0x144",0,0
31,0,"stbi__load_and_postprocess_8bit",0x23064",0x130",0,0
32,0,"stbi__load_main",0x1f400",0x3c64",0,0
