"Modules","Issue Type","Slack","Latency(cycles)","Latency(ns)","Iteration Latency","Interval","Trip Count","Pipelined","BRAM","DSP","FF","LUT","URAM"
"xor_diff_type","-","2.12","0","0.000","-","1","-","no","-","-","-","16","-"
"array_xor","-","0.76","-","-","-","0","-","rewind","-","-","11","329","-"
"fully_connected_fprop","Timing","-0.57","-","-","-","-","-","no","-","67 (1%)","5268","5988","-"
"max_pooling_fprop1","Timing","-0.57","-","-","-","-","-","no","-","61 (1%)","5908","6845","-"
"fill_value","-","0.28","-","-","-","-","-","no","-","-","80","83","-"
"conv_fprop3","Timing","-0.57","-","-","-","-","-","no","-","80 (2%)","7705","7662","-"
"conv_fprop1","Timing","-0.57","-","-","-","-","-","no","-","80 (2%)","7705","7662","-"
"vector_add","-","1.53","0","0.000","-","1","-","no","-","-","-","78","-"
"max_pooling_fprop2","Timing","-0.57","-","-","-","-","-","no","-","61 (1%)","5908","6845","-"
"hevc_loop_filter_chroma_8bit_hls","-","0.26","65","214.500","-","66","-","no","-","-","618","912","-"
"cnn_hls","-","0.02","-","-","-","-","-","no","-","13","6392","5712","-"
"conv_fprop2","Timing","-0.57","-","-","-","-","-","no","-","80 (2%)","7705","7662","-"
"conv_fprop","Timing","-0.57","-","-","-","-","-","no","-","82 (2%)","11179","9924","-"
"assign_array_complete","II","1.06","6","19.800","-","5","-","rewind","-","-","5","90","-"
